,tissue,color,size,CRBL,MEDU
CRBL_black,CRBL,black,988,NA,16.2392595778282
CRBL_blue,CRBL,blue,1654,NA,25.9060026180758
CRBL_brown,CRBL,brown,456,NA,43.7396905012354
CRBL_cyan,CRBL,cyan,919,NA,19.580930591974
CRBL_darkgrey,CRBL,darkgrey,1552,NA,20.2076001982276
CRBL_darkred,CRBL,darkred,538,NA,14.119945129577
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,13.1161234287375
CRBL_green,CRBL,green,573,NA,49.4726261695248
CRBL_greenyellow,CRBL,greenyellow,680,NA,43.5473351863449
CRBL_grey60,CRBL,grey60,861,NA,29.7279261223109
CRBL_lightcyan,CRBL,lightcyan,850,NA,29.0505377684477
CRBL_lightgreen,CRBL,lightgreen,553,NA,17.9264432578799
CRBL_lightyellow,CRBL,lightyellow,322,NA,2.10952823547178
CRBL_magenta,CRBL,magenta,776,NA,39.7005597786591
CRBL_midnightblue,CRBL,midnightblue,364,NA,41.8788373813413
CRBL_pink,CRBL,pink,858,NA,19.0632690648356
CRBL_purple,CRBL,purple,943,NA,10.5366652182236
CRBL_red,CRBL,red,581,NA,24.1949404381734
CRBL_royalblue,CRBL,royalblue,556,NA,17.6676917580358
CRBL_salmon,CRBL,salmon,733,NA,27.5883796178971
CRBL_tan,CRBL,tan,1049,NA,34.5094688470495
CRBL_turquoise,CRBL,turquoise,2041,NA,77.7461025902444
CRBL_yellow,CRBL,yellow,569,NA,58.743564781578
MEDU_black,MEDU,black,799,30.520757505308,NA
MEDU_blue,MEDU,blue,1723,35.7736185442211,NA
MEDU_brown,MEDU,brown,933,20.6580671269501,NA
MEDU_cyan,MEDU,cyan,1552,15.0687231117677,NA
MEDU_green,MEDU,green,909,9.52364426760305,NA
MEDU_greenyellow,MEDU,greenyellow,972,20.7869354870902,NA
MEDU_grey60,MEDU,grey60,794,7.42178893989514,NA
MEDU_lightcyan,MEDU,lightcyan,900,37.5900015784796,NA
MEDU_lightgreen,MEDU,lightgreen,922,11.4063018656235,NA
MEDU_lightyellow,MEDU,lightyellow,815,8.44472110223502,NA
MEDU_midnightblue,MEDU,midnightblue,911,2.42961972776757,NA
MEDU_pink,MEDU,pink,457,22.4959746773343,NA
MEDU_purple,MEDU,purple,1275,16.1226954036418,NA
MEDU_red,MEDU,red,1087,26.4936318897632,NA
MEDU_tan,MEDU,tan,1421,9.10637547496117,NA
MEDU_turquoise,MEDU,turquoise,2429,115.444494166642,NA
MEDU_yellow,MEDU,yellow,1253,31.55192129345,NA
