,tissue,color,size,CRBL,TCTX
CRBL_black,CRBL,black,988,NA,27.8867297910211
CRBL_blue,CRBL,blue,1654,NA,36.3980093810705
CRBL_brown,CRBL,brown,456,NA,37.6596251864259
CRBL_cyan,CRBL,cyan,919,NA,13.4371575557726
CRBL_darkgrey,CRBL,darkgrey,1552,NA,14.3180456113025
CRBL_darkred,CRBL,darkred,538,NA,19.3015234839433
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,18.9224605257122
CRBL_green,CRBL,green,573,NA,39.3228797109295
CRBL_greenyellow,CRBL,greenyellow,680,NA,45.2210829123883
CRBL_grey60,CRBL,grey60,861,NA,34.929908875427
CRBL_lightcyan,CRBL,lightcyan,850,NA,24.798990005782
CRBL_lightgreen,CRBL,lightgreen,553,NA,14.9282153914958
CRBL_lightyellow,CRBL,lightyellow,322,NA,2.21535939503699
CRBL_magenta,CRBL,magenta,776,NA,56.9315144375787
CRBL_midnightblue,CRBL,midnightblue,364,NA,32.8416832724434
CRBL_pink,CRBL,pink,858,NA,27.9826672043596
CRBL_purple,CRBL,purple,943,NA,19.8365480489909
CRBL_red,CRBL,red,581,NA,37.7231838173906
CRBL_royalblue,CRBL,royalblue,556,NA,15.9652357173467
CRBL_salmon,CRBL,salmon,733,NA,27.3704974262007
CRBL_tan,CRBL,tan,1049,NA,58.975435587742
CRBL_turquoise,CRBL,turquoise,2041,NA,75.8185603971573
CRBL_yellow,CRBL,yellow,569,NA,41.045487897716
TCTX_black,TCTX,black,898,31.0951256984393,NA
TCTX_blue,TCTX,blue,1556,77.7036966520713,NA
TCTX_brown,TCTX,brown,883,30.2356614439318,NA
TCTX_cyan,TCTX,cyan,647,19.708458896742,NA
TCTX_darkgreen,TCTX,darkgreen,518,13.1645751276056,NA
TCTX_darkred,TCTX,darkred,844,17.7016797096352,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,15.9335151952432,NA
TCTX_green,TCTX,green,896,34.5397811142184,NA
TCTX_greenyellow,TCTX,greenyellow,738,32.5333356183868,NA
TCTX_grey60,TCTX,grey60,622,20.9058852703086,NA
TCTX_lightcyan,TCTX,lightcyan,647,15.7585142283905,NA
TCTX_lightgreen,TCTX,lightgreen,774,20.9126328787618,NA
TCTX_lightyellow,TCTX,lightyellow,699,12.1190259507195,NA
TCTX_magenta,TCTX,magenta,906,42.3813019115274,NA
TCTX_midnightblue,TCTX,midnightblue,794,24.9444874683826,NA
TCTX_pink,TCTX,pink,893,13.8757529222059,NA
TCTX_purple,TCTX,purple,800,30.4404463573429,NA
TCTX_red,TCTX,red,1607,38.6864917567091,NA
TCTX_salmon,TCTX,salmon,683,21.7231749442849,NA
TCTX_tan,TCTX,tan,722,8.57841558259843,NA
TCTX_turquoise,TCTX,turquoise,1565,61.9758796794143,NA
TCTX_yellow,TCTX,yellow,773,42.8790827544189,NA
