,size,FCTX,HIPP
FCTX_black,808,NA,22
FCTX_blue,1816,NA,23
FCTX_brown,960,NA,2
FCTX_cyan,586,NA,3
FCTX_darkgreen,634,NA,12
FCTX_darkred,1377,NA,8
FCTX_darkturquoise,550,NA,4
FCTX_green,751,NA,7
FCTX_greenyellow,646,NA,21
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,9
FCTX_lightgreen,707,NA,18
FCTX_lightyellow,669,NA,15
FCTX_magenta,785,NA,9
FCTX_midnightblue,598,NA,13
FCTX_pink,719,NA,20
FCTX_purple,635,NA,13
FCTX_red,877,NA,7
FCTX_royalblue,561,NA,17
FCTX_salmon,560,NA,19
FCTX_tan,580,NA,14
FCTX_turquoise,2545,NA,15
FCTX_yellow,719,NA,10
HIPP_black,630,4,NA
HIPP_blue,972,18,NA
HIPP_brown,710,30,NA
HIPP_cyan,527,7,NA
HIPP_darkgreen,373,10,NA
HIPP_darkgrey,402,21,NA
HIPP_darkorange,397,15,NA
HIPP_darkred,321,33,NA
HIPP_darkturquoise,346,28,NA
HIPP_green,455,20,NA
HIPP_greenyellow,441,19,NA
HIPP_grey60,607,17,NA
HIPP_lightcyan,597,18,NA
HIPP_lightgreen,1530,14,NA
HIPP_lightyellow,492,2,NA
HIPP_magenta,481,30,NA
HIPP_midnightblue,332,32,NA
HIPP_orange,525,24,NA
HIPP_paleturquoise,407,13,NA
HIPP_pink,433,26,NA
HIPP_purple,427,16,NA
HIPP_red,435,25,NA
HIPP_royalblue,675,12,NA
HIPP_saddlebrown,1296,3,NA
HIPP_salmon,351,31,NA
HIPP_skyblue,408,8,NA
HIPP_steelblue,503,12,NA
HIPP_tan,420,1,NA
HIPP_turquoise,2119,6,NA
HIPP_violet,365,11,NA
HIPP_white,551,4,NA
HIPP_yellow,624,22,NA
