,size,FCTX,OCTX
FCTX_black,808,NA,21
FCTX_blue,1816,NA,23
FCTX_brown,960,NA,5
FCTX_cyan,586,NA,8
FCTX_darkgreen,634,NA,6
FCTX_darkred,1377,NA,18
FCTX_darkturquoise,550,NA,13
FCTX_green,751,NA,12
FCTX_greenyellow,646,NA,22
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,2
FCTX_lightgreen,707,NA,12
FCTX_lightyellow,669,NA,20
FCTX_magenta,785,NA,3
FCTX_midnightblue,598,NA,8
FCTX_pink,719,NA,18
FCTX_purple,635,NA,14
FCTX_red,877,NA,16
FCTX_royalblue,561,NA,6
FCTX_salmon,560,NA,10
FCTX_tan,580,NA,11
FCTX_turquoise,2545,NA,15
FCTX_yellow,719,NA,9
OCTX_black,530,9,NA
OCTX_blue,1372,30,NA
OCTX_brown,669,4,NA
OCTX_cyan,435,18,NA
OCTX_darkgreen,367,14,NA
OCTX_darkgrey,1389,25,NA
OCTX_darkmagenta,455,10,NA
OCTX_darkolivegreen,355,25,NA
OCTX_darkorange,504,12,NA
OCTX_darkturquoise,538,20,NA
OCTX_green,490,35,NA
OCTX_greenyellow,630,22,NA
OCTX_grey60,313,15,NA
OCTX_lightcyan,361,2,NA
OCTX_lightgreen,378,2,NA
OCTX_lightyellow,532,31,NA
OCTX_magenta,378,17,NA
OCTX_midnightblue,421,16,NA
OCTX_orange,436,7,NA
OCTX_paleturquoise,587,6,NA
OCTX_pink,501,3,NA
OCTX_purple,545,28,NA
OCTX_red,581,34,NA
OCTX_royalblue,418,26,NA
OCTX_saddlebrown,430,8,NA
OCTX_salmon,518,20,NA
OCTX_sienna3,400,4,NA
OCTX_skyblue,423,23,NA
OCTX_steelblue,443,24,NA
OCTX_tan,440,27,NA
OCTX_turquoise,1775,11,NA
OCTX_violet,344,12,NA
OCTX_white,547,22,NA
OCTX_yellow,647,30,NA
