,tissue,color,size,FCTX,OCTX
FCTX_black,FCTX,black,808,NA,35.0011751378627
FCTX_blue,FCTX,blue,1816,NA,42.9586397502396
FCTX_brown,FCTX,brown,960,NA,73.6597847912529
FCTX_cyan,FCTX,cyan,586,NA,29.8346135531985
FCTX_darkgreen,FCTX,darkgreen,634,NA,28.7961667436016
FCTX_darkred,FCTX,darkred,1377,NA,15.7768849879228
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,18.5629436249844
FCTX_green,FCTX,green,751,NA,49.3689591009635
FCTX_greenyellow,FCTX,greenyellow,646,NA,19.6123722548369
FCTX_grey60,FCTX,grey60,468,NA,29.4495735015298
FCTX_lightcyan,FCTX,lightcyan,601,NA,38.0880091558134
FCTX_lightgreen,FCTX,lightgreen,707,NA,26.9564277842115
FCTX_lightyellow,FCTX,lightyellow,669,NA,15.1815185105409
FCTX_magenta,FCTX,magenta,785,NA,61.7615100789395
FCTX_midnightblue,FCTX,midnightblue,598,NA,45.8916147052593
FCTX_pink,FCTX,pink,719,NA,34.8984091097193
FCTX_purple,FCTX,purple,635,NA,30.3355207444101
FCTX_red,FCTX,red,877,NA,43.9411765388357
FCTX_royalblue,FCTX,royalblue,561,NA,24.5575840432688
FCTX_salmon,FCTX,salmon,560,NA,29.3111338742658
FCTX_tan,FCTX,tan,580,NA,27.6346723563273
FCTX_turquoise,FCTX,turquoise,2545,NA,106.270089045164
FCTX_yellow,FCTX,yellow,719,NA,66.4264595369725
OCTX_black,OCTX,black,530,49.7184743924325,NA
OCTX_blue,OCTX,blue,1372,54.5276096035783,NA
OCTX_brown,OCTX,brown,669,72.7389416350341,NA
OCTX_cyan,OCTX,cyan,435,25.0741030503288,NA
OCTX_darkgreen,OCTX,darkgreen,367,22.12723215005,NA
OCTX_darkgrey,OCTX,darkgrey,1389,17.0687455317658,NA
OCTX_darkmagenta,OCTX,darkmagenta,455,21.9941027925846,NA
OCTX_darkolivegreen,OCTX,darkolivegreen,355,11.9329631086395,NA
OCTX_darkorange,OCTX,darkorange,504,28.7239883357461,NA
OCTX_darkturquoise,OCTX,darkturquoise,538,17.5259746945846,NA
OCTX_green,OCTX,green,490,5.02810754701036,NA
OCTX_greenyellow,OCTX,greenyellow,630,31.1528838241555,NA
OCTX_grey60,OCTX,grey60,313,21.0106776399718,NA
OCTX_lightcyan,OCTX,lightcyan,361,30.2200550566088,NA
OCTX_lightgreen,OCTX,lightgreen,378,27.7292491494058,NA
OCTX_lightyellow,OCTX,lightyellow,532,14.973071874248,NA
OCTX_magenta,OCTX,magenta,378,32.7615163544005,NA
OCTX_midnightblue,OCTX,midnightblue,421,19.0035861690547,NA
OCTX_orange,OCTX,orange,436,30.8324671989256,NA
OCTX_paleturquoise,OCTX,paleturquoise,587,20.2322021255582,NA
OCTX_pink,OCTX,pink,501,50.7936498941158,NA
OCTX_purple,OCTX,purple,545,29.0527462320067,NA
OCTX_red,OCTX,red,581,14.8277605084979,NA
OCTX_royalblue,OCTX,royalblue,418,20.7846589676878,NA
OCTX_saddlebrown,OCTX,saddlebrown,430,28.8210064544507,NA
OCTX_salmon,OCTX,salmon,518,28.1233899715261,NA
OCTX_sienna3,OCTX,sienna3,400,17.6708075071237,NA
OCTX_skyblue,OCTX,skyblue,423,18.9436558644075,NA
OCTX_steelblue,OCTX,steelblue,443,15.8860944209967,NA
OCTX_tan,OCTX,tan,440,21.6325911298886,NA
OCTX_turquoise,OCTX,turquoise,1775,114.233406063918,NA
OCTX_violet,OCTX,violet,344,15.9173295101768,NA
OCTX_white,OCTX,white,547,18.4455125442606,NA
OCTX_yellow,OCTX,yellow,647,30.2636697506419,NA
