,tissue,color,size,FCTX,WHMT
FCTX_black,FCTX,black,808,NA,18.6232042622569
FCTX_blue,FCTX,blue,1816,NA,45.0779281748805
FCTX_brown,FCTX,brown,960,NA,52.3305287868867
FCTX_cyan,FCTX,cyan,586,NA,29.9054476538012
FCTX_darkgreen,FCTX,darkgreen,634,NA,16.8783187118551
FCTX_darkred,FCTX,darkred,1377,NA,22.039902298701
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,17.917361901963
FCTX_green,FCTX,green,751,NA,41.2259802412775
FCTX_greenyellow,FCTX,greenyellow,646,NA,18.0979011907701
FCTX_grey60,FCTX,grey60,468,NA,41.4878903316868
FCTX_lightcyan,FCTX,lightcyan,601,NA,17.1695337419091
FCTX_lightgreen,FCTX,lightgreen,707,NA,11.0617289785899
FCTX_lightyellow,FCTX,lightyellow,669,NA,8.05558508824283
FCTX_magenta,FCTX,magenta,785,NA,27.5435039355423
FCTX_midnightblue,FCTX,midnightblue,598,NA,25.584983873023
FCTX_pink,FCTX,pink,719,NA,22.497915497228
FCTX_purple,FCTX,purple,635,NA,23.7112333864537
FCTX_red,FCTX,red,877,NA,40.5417806335685
FCTX_royalblue,FCTX,royalblue,561,NA,6.74013101146681
FCTX_salmon,FCTX,salmon,560,NA,11.9328099989319
FCTX_tan,FCTX,tan,580,NA,17.1452386834444
FCTX_turquoise,FCTX,turquoise,2545,NA,88.6311978613488
FCTX_yellow,FCTX,yellow,719,NA,42.414428244618
WHMT_black,WHMT,black,1184,23.1221479678704,NA
WHMT_blue,WHMT,blue,1315,50.1601658430616,NA
WHMT_brown,WHMT,brown,1360,35.1136450284255,NA
WHMT_cyan,WHMT,cyan,1069,4.51436979751377,NA
WHMT_green,WHMT,green,1230,20.2269205768661,NA
WHMT_greenyellow,WHMT,greenyellow,550,10.818816102674,NA
WHMT_grey60,WHMT,grey60,972,7.49865292766067,NA
WHMT_lightcyan,WHMT,lightcyan,708,18.4401162079012,NA
WHMT_magenta,WHMT,magenta,658,18.036979725658,NA
WHMT_midnightblue,WHMT,midnightblue,463,28.9507379852676,NA
WHMT_pink,WHMT,pink,1110,35.8463635407411,NA
WHMT_purple,WHMT,purple,602,27.4496941086727,NA
WHMT_red,WHMT,red,625,24.9637434570937,NA
WHMT_salmon,WHMT,salmon,1303,22.2932922228694,NA
WHMT_tan,WHMT,tan,1046,26.8904823313255,NA
WHMT_turquoise,WHMT,turquoise,2677,109.210918228473,NA
WHMT_yellow,WHMT,yellow,2280,37.3776484700253,NA
