,size,HIPP,PUTM
HIPP_black,630,NA,13
HIPP_blue,972,NA,19
HIPP_brown,710,NA,33
HIPP_cyan,527,NA,5
HIPP_darkgreen,373,NA,7
HIPP_darkgrey,402,NA,24
HIPP_darkorange,397,NA,15
HIPP_darkred,321,NA,31
HIPP_darkturquoise,346,NA,28
HIPP_green,455,NA,22
HIPP_greenyellow,441,NA,15
HIPP_grey60,607,NA,18
HIPP_lightcyan,597,NA,18
HIPP_lightgreen,1530,NA,6
HIPP_lightyellow,492,NA,2
HIPP_magenta,481,NA,31
HIPP_midnightblue,332,NA,31
HIPP_orange,525,NA,25
HIPP_paleturquoise,407,NA,12
HIPP_pink,433,NA,27
HIPP_purple,427,NA,17
HIPP_red,435,NA,23
HIPP_royalblue,675,NA,11
HIPP_saddlebrown,1296,NA,1
HIPP_salmon,351,NA,29
HIPP_skyblue,408,NA,10
HIPP_steelblue,503,NA,21
HIPP_tan,420,NA,4
HIPP_turquoise,2119,NA,3
HIPP_violet,365,NA,10
HIPP_white,551,NA,8
HIPP_yellow,624,NA,16
PUTM_black,867,8,NA
PUTM_blue,1028,15,NA
PUTM_brown,1090,10,NA
PUTM_cyan,524,18,NA
PUTM_green,725,3,NA
PUTM_greenyellow,362,4,NA
PUTM_grey60,794,14,NA
PUTM_lightcyan,736,7,NA
PUTM_lightgreen,849,11,NA
PUTM_lightyellow,2271,5,NA
PUTM_magenta,694,6,NA
PUTM_midnightblue,652,14,NA
PUTM_pink,590,3,NA
PUTM_purple,644,12,NA
PUTM_red,1149,11,NA
PUTM_royalblue,1455,17,NA
PUTM_salmon,551,20,NA
PUTM_tan,366,1,NA
PUTM_turquoise,2709,14,NA
PUTM_yellow,1096,21,NA
