,size,HIPP,WHMT
HIPP_black,630,NA,7
HIPP_blue,972,NA,14
HIPP_brown,710,NA,29
HIPP_cyan,527,NA,12
HIPP_darkgreen,373,NA,8
HIPP_darkgrey,402,NA,17
HIPP_darkorange,397,NA,20
HIPP_darkred,321,NA,31
HIPP_darkturquoise,346,NA,25
HIPP_green,455,NA,16
HIPP_greenyellow,441,NA,13
HIPP_grey60,607,NA,10
HIPP_lightcyan,597,NA,23
HIPP_lightgreen,1530,NA,2
HIPP_lightyellow,492,NA,1
HIPP_magenta,481,NA,32
HIPP_midnightblue,332,NA,32
HIPP_orange,525,NA,17
HIPP_paleturquoise,407,NA,25
HIPP_pink,433,NA,26
HIPP_purple,427,NA,16
HIPP_red,435,NA,22
HIPP_royalblue,675,NA,10
HIPP_saddlebrown,1296,NA,3
HIPP_salmon,351,NA,31
HIPP_skyblue,408,NA,16
HIPP_steelblue,503,NA,9
HIPP_tan,420,NA,8
HIPP_turquoise,2119,NA,8
HIPP_violet,365,NA,21
HIPP_white,551,NA,8
HIPP_yellow,624,NA,19
WHMT_black,1184,13,NA
WHMT_blue,1315,8,NA
WHMT_brown,1360,12,NA
WHMT_cyan,1069,18,NA
WHMT_green,1230,12,NA
WHMT_greenyellow,550,16,NA
WHMT_grey60,972,13,NA
WHMT_lightcyan,708,3,NA
WHMT_magenta,658,12,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,10,NA
WHMT_purple,602,3,NA
WHMT_red,625,7,NA
WHMT_salmon,1303,5,NA
WHMT_tan,1046,8,NA
WHMT_turquoise,2677,5,NA
WHMT_yellow,2280,8,NA
