,tissue,color,size,HIPP,WHMT
HIPP_black,HIPP,black,630,NA,35.9869989610585
HIPP_blue,HIPP,blue,972,NA,61.7852358169114
HIPP_brown,HIPP,brown,710,NA,13.685485015514
HIPP_cyan,HIPP,cyan,527,NA,29.542287427759
HIPP_darkgreen,HIPP,darkgreen,373,NA,18.6003762521206
HIPP_darkgrey,HIPP,darkgrey,402,NA,9.70278700572196
HIPP_darkorange,HIPP,darkorange,397,NA,9.37056108645934
HIPP_darkred,HIPP,darkred,321,NA,2.63338693546305
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,6.83642113612422
HIPP_green,HIPP,green,455,NA,27.0650240862242
HIPP_greenyellow,HIPP,greenyellow,441,NA,20.8452611382525
HIPP_grey60,HIPP,grey60,607,NA,24.8522979763964
HIPP_lightcyan,HIPP,lightcyan,597,NA,14.994842515575
HIPP_lightgreen,HIPP,lightgreen,1530,NA,30.2875849205631
HIPP_lightyellow,HIPP,lightyellow,492,NA,42.9751347815131
HIPP_magenta,HIPP,magenta,481,NA,2.70787637196709
HIPP_midnightblue,HIPP,midnightblue,332,NA,4.89484163119816
HIPP_orange,HIPP,orange,525,NA,11.1906454850032
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,3.83514526155327
HIPP_pink,HIPP,pink,433,NA,13.8538995267438
HIPP_purple,HIPP,purple,427,NA,21.5674296293729
HIPP_red,HIPP,red,435,NA,20.6510474352839
HIPP_royalblue,HIPP,royalblue,675,NA,27.3053092363055
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,16.3595207540103
HIPP_salmon,HIPP,salmon,351,NA,3.55611111324192
HIPP_skyblue,HIPP,skyblue,408,NA,13.0109554673631
HIPP_steelblue,HIPP,steelblue,503,NA,11.3155605142425
HIPP_tan,HIPP,tan,420,NA,33.5058996573973
HIPP_turquoise,HIPP,turquoise,2119,NA,93.4538908525013
HIPP_violet,HIPP,violet,365,NA,9.79597938908335
HIPP_white,HIPP,white,551,NA,25.372747449818
HIPP_yellow,HIPP,yellow,624,NA,28.9094537863727
WHMT_black,WHMT,black,1184,26.2432609671872,NA
WHMT_blue,WHMT,blue,1315,74.741860147606,NA
WHMT_brown,WHMT,brown,1360,55.5687787788053,NA
WHMT_cyan,WHMT,cyan,1069,5.992081890514,NA
WHMT_green,WHMT,green,1230,29.4871062373592,NA
WHMT_greenyellow,WHMT,greenyellow,550,12.7126524731221,NA
WHMT_grey60,WHMT,grey60,972,8.26992825502832,NA
WHMT_lightcyan,WHMT,lightcyan,708,16.2579684423025,NA
WHMT_magenta,WHMT,magenta,658,24.5988776396604,NA
WHMT_midnightblue,WHMT,midnightblue,463,31.4699997644733,NA
WHMT_pink,WHMT,pink,1110,34.1123875278169,NA
WHMT_purple,WHMT,purple,602,36.6161339258431,NA
WHMT_red,WHMT,red,625,32.0215098996878,NA
WHMT_salmon,WHMT,salmon,1303,32.3203544618972,NA
WHMT_tan,WHMT,tan,1046,29.4149662088344,NA
WHMT_turquoise,WHMT,turquoise,2677,93.5664906949081,NA
WHMT_yellow,WHMT,yellow,2280,32.7309896392296,NA
