,tissue,color,size,MEDU,OCTX
MEDU_black,MEDU,black,799,NA,27.0098558363725
MEDU_blue,MEDU,blue,1723,NA,51.6183042204117
MEDU_brown,MEDU,brown,933,NA,24.5647311505405
MEDU_cyan,MEDU,cyan,1552,NA,13.1682649445455
MEDU_green,MEDU,green,909,NA,12.0581075306608
MEDU_greenyellow,MEDU,greenyellow,972,NA,28.487934468431
MEDU_grey60,MEDU,grey60,794,NA,5.47762993480771
MEDU_lightcyan,MEDU,lightcyan,900,NA,56.6629815877335
MEDU_lightgreen,MEDU,lightgreen,922,NA,10.4737382687683
MEDU_lightyellow,MEDU,lightyellow,815,NA,17.3811115390977
MEDU_midnightblue,MEDU,midnightblue,911,NA,2.25020591149427
MEDU_pink,MEDU,pink,457,NA,22.1812697156761
MEDU_purple,MEDU,purple,1275,NA,20.1244977652983
MEDU_red,MEDU,red,1087,NA,30.8498592854327
MEDU_tan,MEDU,tan,1421,NA,11.685587627395
MEDU_turquoise,MEDU,turquoise,2429,NA,110.118363563959
MEDU_yellow,MEDU,yellow,1253,NA,36.5919381706099
OCTX_black,OCTX,black,530,40.157734071584,NA
OCTX_blue,OCTX,blue,1372,32.4898803967286,NA
OCTX_brown,OCTX,brown,669,82.034784657141,NA
OCTX_cyan,OCTX,cyan,435,19.2289527148382,NA
OCTX_darkgreen,OCTX,darkgreen,367,17.6589853789803,NA
OCTX_darkgrey,OCTX,darkgrey,1389,12.9470815628009,NA
OCTX_darkmagenta,OCTX,darkmagenta,455,14.5589277194588,NA
OCTX_darkolivegreen,OCTX,darkolivegreen,355,10.7760926795979,NA
OCTX_darkorange,OCTX,darkorange,504,16.2837922216457,NA
OCTX_darkturquoise,OCTX,darkturquoise,538,14.8445424032972,NA
OCTX_green,OCTX,green,490,4.11790069898287,NA
OCTX_greenyellow,OCTX,greenyellow,630,27.6498890967739,NA
OCTX_grey60,OCTX,grey60,313,23.4485910873692,NA
OCTX_lightcyan,OCTX,lightcyan,361,41.8042157923778,NA
OCTX_lightgreen,OCTX,lightgreen,378,28.5516666333959,NA
OCTX_lightyellow,OCTX,lightyellow,532,10.9384616529911,NA
OCTX_magenta,OCTX,magenta,378,37.2121814945984,NA
OCTX_midnightblue,OCTX,midnightblue,421,17.3864757357253,NA
OCTX_orange,OCTX,orange,436,27.7575367276019,NA
OCTX_paleturquoise,OCTX,paleturquoise,587,23.9447387091532,NA
OCTX_pink,OCTX,pink,501,38.4504660197073,NA
OCTX_purple,OCTX,purple,545,24.9677509771913,NA
OCTX_red,OCTX,red,581,6.77984973418634,NA
OCTX_royalblue,OCTX,royalblue,418,19.7281655678877,NA
OCTX_saddlebrown,OCTX,saddlebrown,430,21.1033719081357,NA
OCTX_salmon,OCTX,salmon,518,20.2497198858512,NA
OCTX_sienna3,OCTX,sienna3,400,18.8028863884857,NA
OCTX_skyblue,OCTX,skyblue,423,21.0470673161371,NA
OCTX_steelblue,OCTX,steelblue,443,14.1311520362258,NA
OCTX_tan,OCTX,tan,440,27.6129062336141,NA
OCTX_turquoise,OCTX,turquoise,1775,80.0899276088671,NA
OCTX_violet,OCTX,violet,344,15.3544794366281,NA
OCTX_white,OCTX,white,547,14.0014942478885,NA
OCTX_yellow,OCTX,yellow,647,16.2577732663846,NA
