,size,MEDU,THAL
MEDU_black,799,NA,8
MEDU_blue,1723,NA,10
MEDU_brown,933,NA,15
MEDU_cyan,1552,NA,3
MEDU_green,909,NA,17
MEDU_greenyellow,972,NA,1
MEDU_grey60,794,NA,16
MEDU_lightcyan,900,NA,3
MEDU_lightgreen,922,NA,13
MEDU_lightyellow,815,NA,12
MEDU_midnightblue,911,NA,18
MEDU_pink,457,NA,8
MEDU_purple,1275,NA,6
MEDU_red,1087,NA,4
MEDU_tan,1421,NA,12
MEDU_turquoise,2429,NA,5
MEDU_yellow,1253,NA,7
THAL_black,1308,9,NA
THAL_blue,2188,8,NA
THAL_brown,1284,12,NA
THAL_cyan,729,17,NA
THAL_darkgreen,838,8,NA
THAL_darkred,1017,9,NA
THAL_greenyellow,458,19,NA
THAL_grey60,475,17,NA
THAL_lightcyan,1133,8,NA
THAL_lightgreen,966,5,NA
THAL_lightyellow,493,15,NA
THAL_magenta,746,18,NA
THAL_midnightblue,306,2,NA
THAL_pink,1035,14,NA
THAL_red,1241,3,NA
THAL_salmon,426,2,NA
THAL_tan,808,19,NA
THAL_turquoise,3072,5,NA
THAL_yellow,629,10,NA
