,size,OCTX,SNIG
OCTX_black,530,NA,14
OCTX_blue,1372,NA,22
OCTX_brown,669,NA,5
OCTX_cyan,435,NA,28
OCTX_darkgreen,367,NA,17
OCTX_darkgrey,1389,NA,11
OCTX_darkmagenta,455,NA,6
OCTX_darkolivegreen,355,NA,27
OCTX_darkorange,504,NA,16
OCTX_darkturquoise,538,NA,18
OCTX_green,490,NA,35
OCTX_greenyellow,630,NA,19
OCTX_grey60,313,NA,8
OCTX_lightcyan,361,NA,1
OCTX_lightgreen,378,NA,2
OCTX_lightyellow,532,NA,29
OCTX_magenta,378,NA,12
OCTX_midnightblue,421,NA,23
OCTX_orange,436,NA,13
OCTX_paleturquoise,587,NA,4
OCTX_pink,501,NA,4
OCTX_purple,545,NA,13
OCTX_red,581,NA,34
OCTX_royalblue,418,NA,26
OCTX_saddlebrown,430,NA,19
OCTX_salmon,518,NA,17
OCTX_sienna3,400,NA,7
OCTX_skyblue,423,NA,19
OCTX_steelblue,443,NA,26
OCTX_tan,440,NA,27
OCTX_turquoise,1775,NA,9
OCTX_violet,344,NA,24
OCTX_white,547,NA,31
OCTX_yellow,647,NA,31
SNIG_black,1016,9,NA
SNIG_blue,2459,5,NA
SNIG_brown,1083,11,NA
SNIG_cyan,1193,14,NA
SNIG_green,1465,3,NA
SNIG_greenyellow,1439,7,NA
SNIG_magenta,1117,12,NA
SNIG_pink,1294,8,NA
SNIG_purple,625,2,NA
SNIG_red,1435,7,NA
SNIG_salmon,1091,7,NA
SNIG_turquoise,2953,2,NA
SNIG_yellow,1982,6,NA
