,tissue,color,size,OCTX,WHMT
OCTX_black,OCTX,black,530,NA,33.9491865265348
OCTX_blue,OCTX,blue,1372,NA,51.2748925506809
OCTX_brown,OCTX,brown,669,NA,50.4840764590685
OCTX_cyan,OCTX,cyan,435,NA,14.3788180190742
OCTX_darkgreen,OCTX,darkgreen,367,NA,19.1662456257249
OCTX_darkgrey,OCTX,darkgrey,1389,NA,12.8258424408717
OCTX_darkmagenta,OCTX,darkmagenta,455,NA,15.2056714866343
OCTX_darkolivegreen,OCTX,darkolivegreen,355,NA,7.40012800726818
OCTX_darkorange,OCTX,darkorange,504,NA,15.7918083749559
OCTX_darkturquoise,OCTX,darkturquoise,538,NA,11.329372243386
OCTX_green,OCTX,green,490,NA,6.08361759617158
OCTX_greenyellow,OCTX,greenyellow,630,NA,25.2470225146421
OCTX_grey60,OCTX,grey60,313,NA,22.9032890649483
OCTX_lightcyan,OCTX,lightcyan,361,NA,43.2234936844816
OCTX_lightgreen,OCTX,lightgreen,378,NA,33.2930468065595
OCTX_lightyellow,OCTX,lightyellow,532,NA,14.1306061462249
OCTX_magenta,OCTX,magenta,378,NA,27.7785964007837
OCTX_midnightblue,OCTX,midnightblue,421,NA,17.7369824104062
OCTX_orange,OCTX,orange,436,NA,20.0328487361124
OCTX_paleturquoise,OCTX,paleturquoise,587,NA,28.6126741768644
OCTX_pink,OCTX,pink,501,NA,36.6795819548967
OCTX_purple,OCTX,purple,545,NA,19.1915616024873
OCTX_red,OCTX,red,581,NA,11.5840478767245
OCTX_royalblue,OCTX,royalblue,418,NA,18.8334849060015
OCTX_saddlebrown,OCTX,saddlebrown,430,NA,18.8016227267347
OCTX_salmon,OCTX,salmon,518,NA,22.704523657613
OCTX_sienna3,OCTX,sienna3,400,NA,16.0490052249448
OCTX_skyblue,OCTX,skyblue,423,NA,20.1535114998296
OCTX_steelblue,OCTX,steelblue,443,NA,19.3112016022151
OCTX_tan,OCTX,tan,440,NA,19.8707162925547
OCTX_turquoise,OCTX,turquoise,1775,NA,85.1972981845295
OCTX_violet,OCTX,violet,344,NA,15.9033696918411
OCTX_white,OCTX,white,547,NA,9.90106356977994
OCTX_yellow,OCTX,yellow,647,NA,18.0729583817915
WHMT_black,WHMT,black,1184,11.9762060719619,NA
WHMT_blue,WHMT,blue,1315,56.2505853166652,NA
WHMT_brown,WHMT,brown,1360,41.0360897267411,NA
WHMT_cyan,WHMT,cyan,1069,1.74604188870524,NA
WHMT_green,WHMT,green,1230,26.9724117741846,NA
WHMT_greenyellow,WHMT,greenyellow,550,13.6177639098064,NA
WHMT_grey60,WHMT,grey60,972,12.2238270309171,NA
WHMT_lightcyan,WHMT,lightcyan,708,14.8226951855039,NA
WHMT_magenta,WHMT,magenta,658,23.3788010545726,NA
WHMT_midnightblue,WHMT,midnightblue,463,29.6149261384089,NA
WHMT_pink,WHMT,pink,1110,38.5974097750884,NA
WHMT_purple,WHMT,purple,602,26.8116096921485,NA
WHMT_red,WHMT,red,625,23.7904430234103,NA
WHMT_salmon,WHMT,salmon,1303,22.7240177685463,NA
WHMT_tan,WHMT,tan,1046,25.2890870975105,NA
WHMT_turquoise,WHMT,turquoise,2677,106.352674210654,NA
WHMT_yellow,WHMT,yellow,2280,32.2001724445316,NA
