,size,PUTM,THAL
PUTM_black,867,NA,12
PUTM_blue,1028,NA,15
PUTM_brown,1090,NA,9
PUTM_cyan,524,NA,19
PUTM_green,725,NA,2
PUTM_greenyellow,362,NA,7
PUTM_grey60,794,NA,6
PUTM_lightcyan,736,NA,6
PUTM_lightgreen,849,NA,8
PUTM_lightyellow,2271,NA,3
PUTM_magenta,694,NA,12
PUTM_midnightblue,652,NA,17
PUTM_pink,590,NA,1
PUTM_purple,644,NA,11
PUTM_red,1149,NA,11
PUTM_royalblue,1455,NA,15
PUTM_salmon,551,NA,20
PUTM_tan,366,NA,3
PUTM_turquoise,2709,NA,13
PUTM_yellow,1096,NA,21
THAL_black,1308,11,NA
THAL_blue,2188,7,NA
THAL_brown,1284,13,NA
THAL_cyan,729,18,NA
THAL_darkgreen,838,10,NA
THAL_darkred,1017,7,NA
THAL_greenyellow,458,16,NA
THAL_grey60,475,20,NA
THAL_lightcyan,1133,8,NA
THAL_lightgreen,966,4,NA
THAL_lightyellow,493,10,NA
THAL_magenta,746,19,NA
THAL_midnightblue,306,1,NA
THAL_pink,1035,14,NA
THAL_red,1241,5,NA
THAL_salmon,426,3,NA
THAL_tan,808,17,NA
THAL_turquoise,3072,2,NA
THAL_yellow,629,13,NA
