,tissue,color,size,SNIG,TCTX
SNIG_black,SNIG,black,1016,NA,27.2620810969536
SNIG_blue,SNIG,blue,2459,NA,53.7455443561273
SNIG_brown,SNIG,brown,1083,NA,27.3731519614552
SNIG_cyan,SNIG,cyan,1193,NA,3.95606552237779
SNIG_green,SNIG,green,1465,NA,51.7478071703589
SNIG_greenyellow,SNIG,greenyellow,1439,NA,17.7195591158778
SNIG_magenta,SNIG,magenta,1117,NA,9.56852092212504
SNIG_pink,SNIG,pink,1294,NA,34.854942883584
SNIG_purple,SNIG,purple,625,NA,30.9518228980998
SNIG_red,SNIG,red,1435,NA,29.9664935024519
SNIG_salmon,SNIG,salmon,1091,NA,18.1928114485806
SNIG_turquoise,SNIG,turquoise,2953,NA,80.8097005078618
SNIG_yellow,SNIG,yellow,1982,NA,64.7675060518852
TCTX_black,TCTX,black,898,13.4068205048292,NA
TCTX_blue,TCTX,blue,1556,57.530866434307,NA
TCTX_brown,TCTX,brown,883,36.2591231277585,NA
TCTX_cyan,TCTX,cyan,647,26.0555735793916,NA
TCTX_darkgreen,TCTX,darkgreen,518,18.3047875542974,NA
TCTX_darkred,TCTX,darkred,844,14.5810076215679,NA
TCTX_darkturquoise,TCTX,darkturquoise,687,12.7911048556413,NA
TCTX_green,TCTX,green,896,47.4726940036698,NA
TCTX_greenyellow,TCTX,greenyellow,738,14.9522695927983,NA
TCTX_grey60,TCTX,grey60,622,24.3660916760836,NA
TCTX_lightcyan,TCTX,lightcyan,647,16.4919650163065,NA
TCTX_lightgreen,TCTX,lightgreen,774,12.4256939805039,NA
TCTX_lightyellow,TCTX,lightyellow,699,22.5565715003115,NA
TCTX_magenta,TCTX,magenta,906,49.8517906476316,NA
TCTX_midnightblue,TCTX,midnightblue,794,29.1085666186055,NA
TCTX_pink,TCTX,pink,893,17.6090782812534,NA
TCTX_purple,TCTX,purple,800,39.4174455501698,NA
TCTX_red,TCTX,red,1607,46.6013887188592,NA
TCTX_salmon,TCTX,salmon,683,29.5197936318847,NA
TCTX_tan,TCTX,tan,722,4.78386485606291,NA
TCTX_turquoise,TCTX,turquoise,1565,54.001350549475,NA
TCTX_yellow,TCTX,yellow,773,53.8043940782461,NA
